Date,Comp,Result,home_team,away_team,home_score,away_score,year,month,day,home_team_wins,away_team_wins,draw
2021-11-12,WCQ,W,Sudan,Morocco,0.0,3.0,2021,11,12,False,True,False
2021-11-16,WCQ,W,Morocco,Guinea,3.0,0.0,2021,11,16,True,False,False
2022-01-10,Africa Cup of Nations,W,Morocco,Ghana,1.0,0.0,2022,1,10,True,False,False
2022-01-14,Africa Cup of Nations,W,Morocco,Comoros,2.0,0.0,2022,1,14,True,False,False
2022-01-18,Africa Cup of Nations,D,Morocco,Gabon,2.0,2.0,2022,1,18,False,False,True
2022-01-25,Africa Cup of Nations,W,Morocco,Malawi,2.0,1.0,2022,1,25,True,False,False
2022-01-30,Africa Cup of Nations,L,Morocco,Egypt,1.0,2.0,2022,1,30,False,True,False
2022-03-25,WCQ,D,Congo DR,Morocco,1.0,1.0,2022,3,25,False,False,True
2022-03-29,WCQ,W,Morocco,Congo DR,4.0,1.0,2022,3,29,True,False,False
2022-06-01,Friendlies (M),L,United States,Morocco,3.0,0.0,2022,6,1,True,False,False
2022-06-09,Africa Cup of Nations qualification,W,Morocco,South Africa,2.0,1.0,2022,6,9,True,False,False
2022-06-13,Africa Cup of Nations qualification,W,Morocco,Liberia,2.0,0.0,2022,6,13,True,False,False
2022-09-23,Friendlies (M),W,Morocco,Chile,2.0,0.0,2022,9,23,True,False,False
2022-09-27,Friendlies (M),D,Morocco,Paraguay,0.0,0.0,2022,9,27,False,False,True
2021-03-25,WCQ,D,Hungary,Poland,3.0,3.0,2021,3,25,False,False,True
2021-03-28,WCQ,W,Poland,Andorra,3.0,0.0,2021,3,28,True,False,False
2021-03-31,WCQ,L,England,Poland,2.0,1.0,2021,3,31,True,False,False
2021-09-02,WCQ,W,Poland,Albania,4.0,1.0,2021,9,2,True,False,False
2021-09-05,WCQ,W,San Marino,Poland,1.0,7.0,2021,9,5,False,True,False
2021-09-08,WCQ,D,Poland,England,1.0,1.0,2021,9,8,False,False,True
2021-10-09,WCQ,W,Poland,San Marino,5.0,0.0,2021,10,9,True,False,False
2021-10-12,WCQ,W,Albania,Poland,0.0,1.0,2021,10,12,False,True,False
2021-11-12,WCQ,W,Andorra,Poland,1.0,4.0,2021,11,12,False,True,False
2021-11-15,WCQ,L,Poland,Hungary,1.0,2.0,2021,11,15,False,True,False
2022-03-24,Friendlies (M),D,Scotland,Poland,1.0,1.0,2022,3,24,False,False,True
2022-03-29,WCQ,W,Poland,Sweden,2.0,0.0,2022,3,29,True,False,False
2022-06-01,UEFA Nations League,W,Poland,Wales,2.0,1.0,2022,6,1,True,False,False
2022-06-08,UEFA Nations League,L,Belgium,Poland,6.0,1.0,2022,6,8,True,False,False
2022-06-11,UEFA Nations League,D,Netherlands,Poland,2.0,2.0,2022,6,11,False,False,True
2022-06-14,UEFA Nations League,L,Poland,Belgium,0.0,1.0,2022,6,14,False,True,False
2022-09-22,UEFA Nations League,L,Poland,Netherlands,0.0,2.0,2022,9,22,False,True,False
2022-09-25,UEFA Nations League,W,Wales,Poland,0.0,1.0,2022,9,25,False,True,False
2021-03-24,WCQ,W,Portugal,Azerbaijan,1.0,0.0,2021,3,24,True,False,False
2021-03-27,WCQ,D,Serbia,Portugal,2.0,2.0,2021,3,27,False,False,True
2021-03-30,WCQ,W,Luxembourg,Portugal,1.0,3.0,2021,3,30,False,True,False
2021-09-01,WCQ,W,Portugal,Rep. of Ireland,2.0,1.0,2021,9,1,True,False,False
2021-09-07,WCQ,W,Azerbaijan,Portugal,0.0,3.0,2021,9,7,False,True,False
2021-10-12,WCQ,W,Portugal,Luxembourg,5.0,0.0,2021,10,12,True,False,False
2021-11-11,WCQ,D,Rep. of Ireland,Portugal,0.0,0.0,2021,11,11,False,False,True
2021-11-14,WCQ,L,Portugal,Serbia,1.0,2.0,2021,11,14,False,True,False
2022-03-24,WCQ,W,Portugal,Turkey,3.0,1.0,2022,3,24,True,False,False
2022-03-29,WCQ,W,Portugal,N. Macedonia,2.0,0.0,2022,3,29,True,False,False
2022-06-02,UEFA Nations League,D,Spain,Portugal,1.0,1.0,2022,6,2,False,False,True
2022-06-05,UEFA Nations League,W,Portugal,Switzerland,4.0,0.0,2022,6,5,True,False,False
2022-06-09,UEFA Nations League,W,Portugal,Czech Republic,2.0,0.0,2022,6,9,True,False,False
2022-06-12,UEFA Nations League,L,Switzerland,Portugal,1.0,0.0,2022,6,12,True,False,False
2022-09-24,UEFA Nations League,W,Czech Republic,Portugal,0.0,4.0,2022,9,24,False,True,False
2022-09-27,UEFA Nations League,L,Portugal,Spain,0.0,1.0,2022,9,27,False,True,False
2019-09-05,WCQ,W,Qatar,Afghanistan,6.0,0.0,2019,9,5,True,False,False
2019-09-10,WCQ,D,Qatar,India,0.0,0.0,2019,9,10,False,False,True
2019-10-10,WCQ,W,Bangladesh,Qatar,0.0,2.0,2019,10,10,False,True,False
2019-10-15,WCQ,W,Qatar,Oman,2.0,1.0,2019,10,15,True,False,False
2019-11-19,WCQ,W,Qatar,Afghanistan,1.0,0.0,2019,11,19,True,False,False
2020-12-04,WCQ,W,Qatar,Bangladesh,5.0,0.0,2020,12,4,True,False,False
2021-06-03,WCQ,W,India,Qatar,0.0,1.0,2021,6,3,False,True,False
2021-06-07,WCQ,W,Oman,Qatar,0.0,1.0,2021,6,7,False,True,False
2022-03-26,Friendlies (M),W,Qatar,Bulgaria,2.0,1.0,2022,3,26,True,False,False
2022-03-29,Friendlies (M),D,Qatar,Slovenia,0.0,0.0,2022,3,29,False,False,True
2022-08-26,Friendlies (M),D,Qatar,Jamaica,1.0,1.0,2022,8,26,False,False,True
2022-09-23,Friendlies (M),L,Qatar,Canada,0.0,2.0,2022,9,23,False,True,False
2022-09-27,Friendlies (M),D,Qatar,Chile,2.0,2.0,2022,9,27,False,False,True
2021-09-01,WCQ,W,Senegal,Togo,2.0,0.0,2021,9,1,True,False,False
2021-09-07,WCQ,W,Congo,Senegal,1.0,3.0,2021,9,7,False,True,False
2021-10-09,WCQ,W,Senegal,Namibia,4.0,1.0,2021,10,9,True,False,False
2021-10-12,WCQ,W,Namibia,Senegal,1.0,3.0,2021,10,12,False,True,False
2021-11-11,WCQ,D,Togo,Senegal,1.0,1.0,2021,11,11,False,False,True
2021-11-14,WCQ,W,Senegal,Congo,2.0,0.0,2021,11,14,True,False,False
2022-01-10,Africa Cup of Nations,W,Senegal,Zimbabwe,1.0,0.0,2022,1,10,True,False,False
2022-01-14,Africa Cup of Nations,D,Senegal,Guinea,0.0,0.0,2022,1,14,False,False,True
2022-01-18,Africa Cup of Nations,D,Senegal,Malawi,0.0,0.0,2022,1,18,False,False,True
2022-01-25,Africa Cup of Nations,W,Senegal,Cape Verde,2.0,0.0,2022,1,25,True,False,False
2022-01-30,Africa Cup of Nations,W,Senegal,Equ. Guinea,3.0,1.0,2022,1,30,True,False,False
2022-02-02,Africa Cup of Nations,W,Senegal,Burkina Faso,3.0,1.0,2022,2,2,True,False,False
2022-02-06,Africa Cup of Nations,D,Senegal,Egypt,0.0,0.0,2022,2,6,False,False,True
2022-03-25,WCQ,L,Egypt,Senegal,1.0,0.0,2022,3,25,True,False,False
2022-03-29,WCQ,W,Senegal,Egypt,1.0,0.0,2022,3,29,True,False,False
2022-06-04,Africa Cup of Nations qualification,W,Senegal,Benin,3.0,1.0,2022,6,4,True,False,False
2022-06-07,Africa Cup of Nations qualification,W,Rwanda,Senegal,0.0,1.0,2022,6,7,False,True,False
2022-09-24,Friendlies (M),W,Senegal,Bolivia,2.0,0.0,2022,9,24,True,False,False
2022-09-27,Friendlies (M),D,Senegal,IR Iran,1.0,1.0,2022,9,27,False,False,True
2021-03-24,WCQ,W,Serbia,Rep. of Ireland,3.0,2.0,2021,3,24,True,False,False
2021-03-27,WCQ,D,Serbia,Portugal,2.0,2.0,2021,3,27,False,False,True
2021-03-30,WCQ,W,Azerbaijan,Serbia,1.0,2.0,2021,3,30,False,True,False
2021-09-04,WCQ,W,Serbia,Luxembourg,4.0,1.0,2021,9,4,True,False,False
2021-09-07,WCQ,D,Rep. of Ireland,Serbia,1.0,1.0,2021,9,7,False,False,True
2021-10-09,WCQ,W,Luxembourg,Serbia,0.0,1.0,2021,10,9,False,True,False
2021-10-12,WCQ,W,Serbia,Azerbaijan,3.0,1.0,2021,10,12,True,False,False
2021-11-14,WCQ,W,Portugal,Serbia,1.0,2.0,2021,11,14,False,True,False
2022-03-24,Friendlies (M),W,Hungary,Serbia,0.0,1.0,2022,3,24,False,True,False
2022-03-29,Friendlies (M),L,Denmark,Serbia,3.0,0.0,2022,3,29,True,False,False
2022-06-02,UEFA Nations League,L,Serbia,Norway,0.0,1.0,2022,6,2,False,True,False
2022-06-05,UEFA Nations League,W,Serbia,Slovenia,4.0,1.0,2022,6,5,True,False,False
2022-06-09,UEFA Nations League,W,Sweden,Serbia,0.0,1.0,2022,6,9,False,True,False
2022-06-12,UEFA Nations League,D,Slovenia,Serbia,2.0,2.0,2022,6,12,False,False,True
2022-09-24,UEFA Nations League,W,Serbia,Sweden,4.0,1.0,2022,9,24,True,False,False
2022-09-27,UEFA Nations League,W,Norway,Serbia,0.0,2.0,2022,9,27,False,True,False
2021-03-25,WCQ,D,Spain,Greece,1.0,1.0,2021,3,25,False,False,True
2021-03-28,WCQ,W,Georgia,Spain,1.0,2.0,2021,3,28,False,True,False
2021-03-31,WCQ,W,Spain,Kosovo,3.0,1.0,2021,3,31,True,False,False
2021-09-02,WCQ,L,Sweden,Spain,2.0,1.0,2021,9,2,True,False,False
2021-09-05,WCQ,W,Spain,Georgia,4.0,0.0,2021,9,5,True,False,False
2021-09-08,WCQ,W,Kosovo,Spain,0.0,2.0,2021,9,8,False,True,False
2021-11-11,WCQ,W,Greece,Spain,0.0,1.0,2021,11,11,False,True,False
2021-11-14,WCQ,W,Spain,Sweden,1.0,0.0,2021,11,14,True,False,False
2022-03-26,Friendlies (M),W,Spain,Albania,2.0,1.0,2022,3,26,True,False,False
2022-03-29,Friendlies (M),W,Spain,Iceland,5.0,0.0,2022,3,29,True,False,False
2022-06-02,UEFA Nations League,D,Spain,Portugal,1.0,1.0,2022,6,2,False,False,True
2022-06-05,UEFA Nations League,D,Czech Republic,Spain,2.0,2.0,2022,6,5,False,False,True
2022-06-09,UEFA Nations League,W,Switzerland,Spain,0.0,1.0,2022,6,9,False,True,False
2022-06-12,UEFA Nations League,W,Spain,Czech Republic,2.0,0.0,2022,6,12,True,False,False
2022-09-24,UEFA Nations League,L,Spain,Switzerland,1.0,2.0,2022,9,24,False,True,False
2022-09-27,UEFA Nations League,W,Portugal,Spain,0.0,1.0,2022,9,27,False,True,False
2021-03-25,WCQ,W,Bulgaria,Switzerland,1.0,3.0,2021,3,25,False,True,False
2021-03-28,WCQ,W,Switzerland,Lithuania,1.0,0.0,2021,3,28,True,False,False
2021-09-05,WCQ,D,Switzerland,Italy,0.0,0.0,2021,9,5,False,False,True
2021-09-08,WCQ,D,Northern Ireland,Switzerland,0.0,0.0,2021,9,8,False,False,True
2021-10-09,WCQ,W,Switzerland,Northern Ireland,2.0,0.0,2021,10,9,True,False,False
2021-10-12,WCQ,W,Lithuania,Switzerland,0.0,4.0,2021,10,12,False,True,False
2021-11-12,WCQ,D,Italy,Switzerland,1.0,1.0,2021,11,12,False,False,True
2021-11-15,WCQ,W,Switzerland,Bulgaria,4.0,0.0,2021,11,15,True,False,False
2022-03-26,Friendlies (M),L,England,Switzerland,2.0,1.0,2022,3,26,True,False,False
2022-03-29,Friendlies (M),D,Switzerland,Kosovo,1.0,1.0,2022,3,29,False,False,True
2022-06-02,UEFA Nations League,L,Czech Republic,Switzerland,2.0,1.0,2022,6,2,True,False,False
2022-06-05,UEFA Nations League,L,Portugal,Switzerland,4.0,0.0,2022,6,5,True,False,False
2022-06-09,UEFA Nations League,L,Switzerland,Spain,0.0,1.0,2022,6,9,False,True,False
2022-06-12,UEFA Nations League,W,Switzerland,Portugal,1.0,0.0,2022,6,12,True,False,False
2022-09-24,UEFA Nations League,W,Spain,Switzerland,1.0,2.0,2022,9,24,False,True,False
2022-09-27,UEFA Nations League,W,Switzerland,Czech Republic,2.0,1.0,2022,9,27,True,False,False
2021-09-03,WCQ,W,Tunisia,Equ. Guinea,3.0,0.0,2021,9,3,True,False,False
2021-09-07,WCQ,W,Zambia,Tunisia,0.0,2.0,2021,9,7,False,True,False
2021-10-07,WCQ,W,Tunisia,Mauritania,3.0,0.0,2021,10,7,True,False,False
2021-10-10,WCQ,D,Mauritania,Tunisia,0.0,0.0,2021,10,10,False,False,True
2021-11-13,WCQ,L,Equ. Guinea,Tunisia,1.0,0.0,2021,11,13,True,False,False
2021-11-16,WCQ,W,Tunisia,Zambia,3.0,1.0,2021,11,16,True,False,False
2022-01-12,Africa Cup of Nations,L,Tunisia,Mali,0.0,1.0,2022,1,12,False,True,False
2022-01-16,Africa Cup of Nations,W,Tunisia,Mauritania,4.0,0.0,2022,1,16,True,False,False
2022-01-20,Africa Cup of Nations,L,Tunisia,Gambia,0.0,1.0,2022,1,20,False,True,False
2022-01-23,Africa Cup of Nations,W,Tunisia,Nigeria,1.0,0.0,2022,1,23,True,False,False
2022-01-29,Africa Cup of Nations,L,Tunisia,Burkina Faso,0.0,1.0,2022,1,29,False,True,False
2022-03-25,WCQ,W,Mali,Tunisia,0.0,1.0,2022,3,25,False,True,False
2022-03-29,WCQ,D,Tunisia,Mali,0.0,0.0,2022,3,29,False,False,True
2022-06-02,Africa Cup of Nations qualification,W,Tunisia,Equ. Guinea,4.0,0.0,2022,6,2,True,False,False
2022-06-05,Africa Cup of Nations qualification,D,Botswana,Tunisia,0.0,0.0,2022,6,5,False,False,True
2022-09-22,Friendlies (M),W,Tunisia,Comoros,1.0,0.0,2022,9,22,True,False,False
2022-09-27,Friendlies (M),L,Tunisia,Brazil,1.0,5.0,2022,9,27,False,True,False
2020-10-08,WCQ,W,Uruguay,Chile,2.0,1.0,2020,10,8,True,False,False
2020-10-13,WCQ,L,Ecuador,Uruguay,4.0,2.0,2020,10,13,True,False,False
2020-11-13,WCQ,W,Colombia,Uruguay,0.0,3.0,2020,11,13,False,True,False
2020-11-17,WCQ,L,Uruguay,Brazil,0.0,2.0,2020,11,17,False,True,False
2021-06-03,WCQ,D,Uruguay,Paraguay,0.0,0.0,2021,6,3,False,False,True
2021-06-08,WCQ,D,Venezuela,Uruguay,0.0,0.0,2021,6,8,False,False,True
2021-09-02,WCQ,D,Peru,Uruguay,1.0,1.0,2021,9,2,False,False,True
2021-09-05,WCQ,W,Uruguay,Bolivia,4.0,2.0,2021,9,5,True,False,False
2021-09-09,WCQ,W,Uruguay,Ecuador,1.0,0.0,2021,9,9,True,False,False
2021-10-07,WCQ,D,Uruguay,Colombia,0.0,0.0,2021,10,7,False,False,True
2021-10-10,WCQ,L,Argentina,Uruguay,3.0,0.0,2021,10,10,True,False,False
2021-10-14,WCQ,L,Brazil,Uruguay,4.0,1.0,2021,10,14,True,False,False
2021-11-12,WCQ,L,Uruguay,Argentina,0.0,1.0,2021,11,12,False,True,False
2021-11-16,WCQ,L,Bolivia,Uruguay,3.0,0.0,2021,11,16,True,False,False
2022-01-27,WCQ,W,Paraguay,Uruguay,0.0,1.0,2022,1,27,False,True,False
2022-02-01,WCQ,W,Uruguay,Venezuela,4.0,1.0,2022,2,1,True,False,False
2022-03-24,WCQ,W,Uruguay,Peru,1.0,0.0,2022,3,24,True,False,False
2022-03-29,WCQ,W,Chile,Uruguay,0.0,2.0,2022,3,29,False,True,False
2022-06-02,Friendlies (M),W,Uruguay,Mexico,3.0,0.0,2022,6,2,True,False,False
2022-09-23,Friendlies (M),L,Uruguay,IR Iran,0.0,1.0,2022,9,23,False,True,False
2022-09-27,Friendlies (M),W,Canada,Uruguay,0.0,2.0,2022,9,27,False,True,False
2021-09-02,WCQ,D,El Salvador,United States,0.0,0.0,2021,9,2,False,False,True
2021-09-05,WCQ,D,United States,Canada,1.0,1.0,2021,9,5,False,False,True
2021-09-08,WCQ,W,Honduras,United States,1.0,4.0,2021,9,8,False,True,False
2021-10-07,WCQ,W,United States,Jamaica,2.0,0.0,2021,10,7,True,False,False
2021-10-10,WCQ,L,Panama,United States,1.0,0.0,2021,10,10,True,False,False
2021-10-13,WCQ,W,United States,Costa Rica,2.0,1.0,2021,10,13,True,False,False
2021-11-12,WCQ,W,United States,Mexico,2.0,0.0,2021,11,12,True,False,False
2021-11-16,WCQ,D,Jamaica,United States,1.0,1.0,2021,11,16,False,False,True
2022-01-27,WCQ,W,United States,El Salvador,1.0,0.0,2022,1,27,True,False,False
2022-01-30,WCQ,L,Canada,United States,2.0,0.0,2022,1,30,True,False,False
2022-02-02,WCQ,W,United States,Honduras,3.0,0.0,2022,2,2,True,False,False
2022-03-24,WCQ,D,Mexico,United States,0.0,0.0,2022,3,24,False,False,True
2022-03-27,WCQ,W,United States,Panama,5.0,1.0,2022,3,27,True,False,False
2022-03-30,WCQ,L,Costa Rica,United States,2.0,0.0,2022,3,30,True,False,False
2022-06-01,Friendlies (M),W,United States,Morocco,3.0,0.0,2022,6,1,True,False,False
2022-09-23,Friendlies (M),L,United States,Japan,0.0,2.0,2022,9,23,False,True,False
2022-09-27,Friendlies (M),D,Saudi Arabia,United States,0.0,0.0,2022,9,27,False,False,True
2021-03-24,WCQ,L,Belgium,Wales,3.0,1.0,2021,3,24,True,False,False
2021-03-30,WCQ,W,Wales,Czech Republic,1.0,0.0,2021,3,30,True,False,False
2021-09-05,WCQ,W,Belarus,Wales,2.0,3.0,2021,9,5,False,True,False
2021-09-08,WCQ,D,Wales,Estonia,0.0,0.0,2021,9,8,False,False,True
2021-10-08,WCQ,D,Czech Republic,Wales,2.0,2.0,2021,10,8,False,False,True
2021-10-11,WCQ,W,Estonia,Wales,0.0,1.0,2021,10,11,False,True,False
2021-11-13,WCQ,W,Wales,Belarus,5.0,1.0,2021,11,13,True,False,False
2021-11-16,WCQ,D,Wales,Belgium,1.0,1.0,2021,11,16,False,False,True
2022-03-24,WCQ,W,Wales,Austria,2.0,1.0,2022,3,24,True,False,False
2022-03-29,Friendlies (M),D,Wales,Czech Republic,1.0,1.0,2022,3,29,False,False,True
2022-06-01,UEFA Nations League,L,Poland,Wales,2.0,1.0,2022,6,1,True,False,False
2022-06-05,WCQ,W,Wales,Ukraine,1.0,0.0,2022,6,5,True,False,False
2022-06-08,UEFA Nations League,L,Wales,Netherlands,1.0,2.0,2022,6,8,False,True,False
2022-06-11,UEFA Nations League,D,Wales,Belgium,1.0,1.0,2022,6,11,False,False,True
2022-06-14,UEFA Nations League,L,Netherlands,Wales,3.0,2.0,2022,6,14,True,False,False
2022-09-22,UEFA Nations League,L,Belgium,Wales,2.0,1.0,2022,9,22,True,False,False
2022-09-25,UEFA Nations League,L,Wales,Poland,0.0,1.0,2022,9,25,False,True,False
